# Boroson optical Fe template
# log10(wave)  flux (erg/s/cm2/A)
3.566514  2.698728E-16
3.5666678989  1.989182E-16
3.5668217978  1.149670E-16
3.5669756967  6.660908E-17
3.5671295956  7.540848E-17
3.5672834945  1.299832E-16
3.5674373934  1.622967E-16
3.5675912923  2.003827E-16
3.5677451912  3.407178E-16
3.5678990901  5.344449E-16
3.568052989  6.888640E-16
3.5682068879  8.109969E-16
3.5683607868  8.989126E-16
3.5685146857  9.012872E-16
3.5686685846  8.248234E-16
3.5688224835  7.478125E-16
3.5689763824  7.368375E-16
3.5691302813  8.431189E-16
3.5692841802  1.049535E-15
3.5694380791  1.306436E-15
3.569591978  1.538648E-15
3.5697458769  1.679577E-15
3.5698997758  1.684525E-15
3.5700536747  1.588856E-15
3.5702075736  1.522729E-15
3.5703614725  1.532254E-15
3.5705153714  1.609884E-15
3.5706692703  1.708356E-15
3.5708231692  1.774999E-15
3.5709770681  1.880132E-15
3.571130967  2.044323E-15
3.5712848659  2.174241E-15
3.5714387648  2.214679E-15
3.5715926637  2.146825E-15
3.5717465626  2.035392E-15
3.5719004615  1.981764E-15
3.5720543604  1.987683E-15
3.5722082593  2.028712E-15
3.5723621582  2.029391E-15
3.5725160571  1.963501E-15
3.572669956  1.889710E-15
3.5728238549  1.862299E-15
3.5729777538  1.927705E-15
3.5731316527  2.069765E-15
3.5732855516  2.243653E-15
3.5734394505  2.380650E-15
3.5735933494  2.426872E-15
3.5737472483  2.371895E-15
3.5739011472  2.236101E-15
3.5740550461  2.068745E-15
3.574208945  1.927959E-15
3.5743628439  1.870079E-15
3.5745167428  1.880385E-15
3.5746706417  1.933989E-15
3.5748245406  2.036122E-15
3.5749784395  2.170964E-15
3.5751323384  2.298792E-15
3.5752862373  2.391165E-15
3.5754401362  2.430571E-15
3.5755940351  2.421006E-15
3.575747934  2.375504E-15
3.5759018329  2.339148E-15
3.5760557318  2.310696E-15
3.5762096307  2.194944E-15
3.5763635296  1.975093E-15
3.5765174285  1.701170E-15
3.5766713274  1.452495E-15
3.5768252263  1.313619E-15
3.5769791252  1.254723E-15
3.5771330241  1.257414E-15
3.577286923  1.374452E-15
3.5774408219  1.549676E-15
3.5775947208  1.621248E-15
3.5777486197  1.610338E-15
3.5779025186  1.614050E-15
3.5780564175  1.574797E-15
3.5782103164  1.464164E-15
3.5783642153  1.345207E-15
3.5785181142  1.260289E-15
3.5786720131  1.233374E-15
3.578825912  1.206947E-15
3.5789798109  1.089858E-15
3.5791337098  9.506917E-16
3.5792876087  8.561120E-16
3.5794415076  8.090377E-16
3.5795954065  8.039220E-16
3.5797493054  8.222692E-16
3.5799032043  8.433552E-16
3.5800571032  8.487856E-16
3.5802110021  8.360813E-16
3.580364901  8.121645E-16
3.5805187999  7.951857E-16
3.5806726988  8.085142E-16
3.5808265977  8.714530E-16
3.5809804966  1.016914E-15
3.5811343955  1.273173E-15
3.5812882944  1.484668E-15
3.5814421933  1.528661E-15
3.5815960922  1.426935E-15
3.5817499911  1.251557E-15
